iter	Passed	Remaining
251	19372	57501
252	19435	57383
253	19512	57308
254	19574	57188
255	19619	57018
256	19668	56862
257	19759	56828
258	19858	56814
259	19916	56684
260	19995	56615
261	20057	56496
262	20136	56427
263	20198	56309
264	20275	56235
265	20349	56152
266	20413	56040
267	20489	55962
268	20554	55855
269	20620	55752
270	20687	55650
271	20772	55598
272	20838	55493
273	20914	55416
274	20974	55297
275	21052	55223
276	21132	55157
277	21214	55095
278	21282	54998
279	21339	54872
280	21431	54837
281	21495	54730
282	21555	54613
283	21620	54507
284	21679	54388
285	21750	54300
286	21803	54166
287	21899	54140
288	21964	54036
289	22026	53926
290	22092	53826
291	22153	53715
292	22229	53639
293	22284	53512
294	22368	53457
295	22448	53390
296	22557	53392
297	22617	53281
298	22665	53139
299	22731	53040
300	22794	52935
301	22854	52822
302	22915	52713
303	22978	52607
304	23055	52536
305	23119	52434
306	23169	52301
307	23246	52228
308	23304	52115
309	23380	52040
310	23461	51977
311	23521	51868
312	23588	51774
313	23646	51661
314	23708	51557
315	23770	51453
316	23849	51385
317	23915	51290
318	23977	51186
319	24036	51078
320	24101	50981
321	24162	50875
322	24241	50809
323	24320	50741
324	24383	50642
325	24474	50600
326	24540	50506
327	24603	50406
328	24653	50280
329	24709	50167
330	24770	50064
331	24851	50001
332	24927	49929
333	24998	49848
334	25071	49768
335	25132	49665
336	25197	49572
337	25276	49505
338	25350	49429
339	25413	49332
340	25459	49200
341	25524	49108
342	25586	49009
343	25648	48910
344	25714	48819
345	25790	48749
346	25865	48675
347	25925	48573
348	25988	48477
349	26050	48379
350	26112	48282
351	26192	48217
352	26268	48145
353	26347	48080
354	26414	47992
355	26475	47893
356	26536	47796
357	26601	47703
358	26659	47601
359	26740	47538
360	26817	47468
361	26880	47374
362	26943	47280
363	27021	47212
364	27100	47147
365	27165	47056
366	27227	46962
367	27304	46891
368	27381	46823
369	27446	46733
370	27523	46663
371	27584	46566
372	27687	46541
373	27758	46462
374	27820	46367
375	27897	46298
376	27952	46191
377	28008	46087
378	28085	46019
379	28151	45930
380	28231	45867
381	28293	45773
382	28356	45681
383	28433	45611
384	28513	45548
385	28575	45454
386	28652	45385
387	28728	45313
388	28808	45249
389	28887	45182
390	28965	45115
391	29027	45022
392	29094	44936
393	29170	44866
394	29231	44772
395	29310	44705
396	29370	44610
397	29451	44546
398	29515	44458
